Categories,Level 3 - CATEGORY MANAGER,Level 4 - CATEGORY PLAN,Level 5 - 4BOX,cost,Percentage
FF SCM GASTRO,FF CM FRESH BAR,FRESH BAR,FRESH BAR MEAL - WARM&COLD,-3566,"0,00%"
SF SCM MEAT,SF CM POULTRY,POULTRY FROZEN,FROZEN TURKEY,-3455,"0,00%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH JUICES,FRESH JUICES VEGETABLES 100%,-3216,"0,00%"
FF SCM DAIRY,"FF CM MILK, FATS",MILK,DRY MILK,-3176,"0,00%"
FF SCM GASTRO,FF CM SUSHI,SUSHI POINT,SUSHI POINT - MEALS OTHER,-2944,"0,00%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SERVICE,FRESH DELI PICKLED PRODUCTS SERVICE,-2741,"0,00%"
SF SCM MEAT,SF CM RED MEAT,RED MEAT,VEAL MEAT CHILLED,-2719,"0,00%"
SF SCM MEAT,SF CM POULTRY,POULTRY FROZEN,FROZEN HEN,-808,"0,00%"
FF SCM DAIRY,"FF CM MILK, FATS","MAYONNAISE,DRES",FRESH DRESSINGS,-795,"0,00%"
FF SCM DAIRY,"FF CM MILK, FATS","MAYONNAISE,DRES",FRESH SAUCES,-719,"0,00%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT",DRIED VEGETABLES,-413,"0,00%"
FF SCM FROZEN,FF CM FROZEN FOOD,PURE ICE,PURE ICE,-257,"0,00%"
SF SCM MEAT,SF CM RED MEAT,FROZEN RED MEAT,FROZEN BEEF,-194,"0,00%"
SF SCM F&V,SF CM PROCESSED F&V,MUSHROOMS,DRIED MUSHROOMS,-135,"0,00%"
FF SCM GASTRO,FF CM SUSHI,SUSHI POINT,SUSHI POINT - SIDE DISHES,-99,"0,00%"
FF SCM GASTRO,FF CM FRESH BAR,FRESH BAR,FRESH BAR NON-ALCOHOLIC DRINKS,-27,"0,00%"
FF SCM GASTRO,FF CM FRESH BAR,FRESH BAR,FRESH BAR RAW MATERIALS,-4,"0,00%"
